[0.088s] Invoking command in '/home/pinky/pinky_pro/build/pinky_navigation': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/pinky/pinky_pro/install/pinky_led:/home/pinky/pinky_pro/install/pinky_emotion:/home/pinky/pinky_pro/install/pinky_bringup:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/pinky/pinky_pro/build/pinky_navigation -- -j4 -l4
[0.668s] Invoked command in '/home/pinky/pinky_pro/build/pinky_navigation' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/pinky/pinky_pro/install/pinky_led:/home/pinky/pinky_pro/install/pinky_emotion:/home/pinky/pinky_pro/install/pinky_bringup:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/pinky/pinky_pro/build/pinky_navigation -- -j4 -l4
[0.741s] Invoking command in '/home/pinky/pinky_pro/build/pinky_navigation': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/pinky/pinky_pro/install/pinky_led:/home/pinky/pinky_pro/install/pinky_emotion:/home/pinky/pinky_pro/install/pinky_bringup:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/pinky/pinky_pro/build/pinky_navigation
[0.795s] -- Install configuration: ""
[0.797s] -- Execute custom install script
[0.799s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/lib/pinky_navigation/nav2_web_server.py
[0.800s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/lib/pinky_navigation/index.html
[0.801s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/lib/pinky_navigation/pinklab_logo.png
[0.807s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/launch/bringup_launch.xml
[0.808s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/launch/gz_bringup_launch.xml
[0.809s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/launch/gz_map_building.launch.xml
[0.810s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/launch/gz_map_view.launch.xml
[0.811s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/launch/gz_nav2_view.launch.xml
[0.811s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/launch/gz_web_nav2.launch.xml
[0.812s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/launch/gz_web_slam.launch.xml
[0.813s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/launch/localization_launch.xml
[0.814s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/launch/map_building.launch.xml
[0.815s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/launch/map_view.launch.xml
[0.816s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/launch/nav2_view.launch.xml
[0.817s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/launch/navigation_launch.xml
[0.818s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/launch/web_nav2.launch.xml
[0.819s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/launch/web_slam.launch.xml
[0.821s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/params/mapper_params.yaml
[0.821s] -- Up-to-date symlink: /home/pinky/pinky_pro/install/pinky_navigation/share/pinky_navigation/params/nav2_params.yaml
